Reporting Library Service,Name,Address 1,Address 2,Address 3,Upper Tier Local Authority,Postcode,Type,Year_Permanently_Closed,Year First Opened,lat,lon
Leeds,Methley Library,Saville Road,Methley,West Yorkshire,Leeds,LS26 9HS,Static Library,2015,,53.738941,-1.397743
Lincolnshire,Skellingthorpe,Church Road,Skellingthorpe,Lincolnshire,Lincolnshire,LN6 5UW,Static Library,2015,,53.236005,-0.616899
Lincolnshire,Tattershall Coningsby,High Street,Coningsby,Lincolnshire,Lincolnshire,LN4 4RB,Static Library,2015,,53.105933,-0.175514
Lincolnshire,Washingborough,School Lane,Lincoln,Lincolnshire,Lincolnshire,LN4 1BW,Static Library,2015,,53.223471,-0.470851
Manchester,Higher Blackley Library,Victoria Avenue,High Blackley,Greater Manchester ,Manchester,M9 0RA,Static Library,2015,,53.533686,-2.222735
Manchester,Hulme Library,Hulme Walk,Manchester ,Greater Manchester ,Manchester,M15 5FQ,Static Library,2015,,,
Medway,Strood Library,32 Bryant Road,Strood,Kent,Medway,ME2 3EP,Static Library,2015,,51.397532,0.49068
Salford,Swinton Library,Chorley Road,Swinton,Greater Manchester,Salford,M27 6BP,Static Library,2015,,,
Solihull,Smith's Wood Neighbourhood Library,Burtons Way,Birmingham,West Midlands,Solihull,B36 0SZ,Static Library,2015,,52.503281,-1.747931
South Tyneside,Hebburn,Station Road,Hebburn,Tyne and Wear,South Tyneside,NE31 1PN,Static Library,2015,,54.973847,-1.519321
Southend,Friars,Constable Way,Shoeburyness ,Essex,Essex,SS3 9UU,Static Library,2015,,51.539398,0.793685
Southend,Thorpedene,Delaware Road,Southend-on-Sea,Essex,Essex,SS3 9NW,Static Library,2015,,51.535625,0.770351
Swindon,Blunsdon Community Book Collection,"Blunsdon Village Hall, High Street, Blunsdon",Blunsdon,Wiltshire,Swindon,SN26 7AR,Static Library,2015,2014,51.614056,-1.782367
Trafford,Bowfell,"Urmston Leisure Centre, Bowfell Road",Urmston,Greater Manchester,Trafford,M41 5RR,Static Library,2015,,53.451021,-2.370201
Trafford,Davyhulme,Hayeswater Road,Davyhulme,Greater Manchester,Trafford,M41 7BL,Static Library,2015,,53.455639,-2.359354
